label,message
ham,आजचा क्लास किती वाजता आहे? (संदेश 23)
ham,तुझा प्रोजेक्ट पूर्ण झाला का? (संदेश 24)
ham,चल संध्याकाळी फिरायला जाऊ. (संदेश 25)
ham,मी थोडा उशीर होईल. (संदेश 26)
ham,उद्या परीक्षा आहे. (संदेश 27)
ham,मी तुला नंतर फोन करतो. (संदेश 28)
ham,आज ऑफिसला सुट्टी आहे. (संदेश 29)
ham,जेवण झाले का? (संदेश 30)
ham,उद्या कॉलेजला येणार का? (संदेश 31)
ham,मी ५ वाजता घरी येतो. (संदेश 32)
ham,आजचा क्लास किती वाजता आहे? (संदेश 33)
ham,तुझा प्रोजेक्ट पूर्ण झाला का? (संदेश 34)
ham,चल संध्याकाळी फिरायला जाऊ. (संदेश 35)
ham,मी थोडा उशीर होईल. (संदेश 36)
ham,उद्या परीक्षा आहे. (संदेश 37)
ham,मी तुला नंतर फोन करतो. (संदेश 38)
ham,आज ऑफिसला सुट्टी आहे. (संदेश 39)
ham,जेवण झाले का? (संदेश 40)
ham,उद्या कॉलेजला येणार का? (संदेश 41)
ham,मी ५ वाजता घरी येतो. (संदेश 42)
ham,आजचा क्लास किती वाजता आहे? (संदेश 43)
ham,तुझा प्रोजेक्ट पूर्ण झाला का? (संदेश 44)
ham,चल संध्याकाळी फिरायला जाऊ. (संदेश 45)
ham,मी थोडा उशीर होईल. (संदेश 46)
ham,उद्या परीक्षा आहे. (संदेश 47)
ham,मी तुला नंतर फोन करतो. (संदेश 48)
ham,आज ऑफिसला सुट्टी आहे. (संदेश 49)
ham,जेवण झाले का? (संदेश 50)
ham,उद्या कॉलेजला येणार का? (संदेश 51)
ham,मी ५ वाजता घरी येतो. (संदेश 52)
ham,आजचा क्लास किती वाजता आहे? (संदेश 53)
ham,तुझा प्रोजेक्ट पूर्ण झाला का? (संदेश 54)
ham,चल संध्याकाळी फिरायला जाऊ. (संदेश 55)
ham,मी थोडा उशीर होईल. (संदेश 56)
ham,उद्या परीक्षा आहे. (संदेश 57)
ham,मी तुला नंतर फोन करतो. (संदेश 58)
ham,आज ऑफिसला सुट्टी आहे. (संदेश 59)
ham,जेवण झाले का? (संदेश 60)
ham,उद्या कॉलेजला येणार का? (संदेश 61)
ham,मी ५ वाजता घरी येतो. (संदेश 62)
ham,आजचा क्लास किती वाजता आहे? (संदेश 63)
ham,तुझा प्रोजेक्ट पूर्ण झाला का? (संदेश 64)
ham,चल संध्याकाळी फिरायला जाऊ. (संदेश 65)
ham,मी थोडा उशीर होईल. (संदेश 66)
ham,उद्या परीक्षा आहे. (संदेश 67)
ham,मी तुला नंतर फोन करतो. (संदेश 68)
ham,आज ऑफिसला सुट्टी आहे. (संदेश 69)
ham,जेवण झाले का? (संदेश 70)
ham,उद्या कॉलेजला येणार का? (संदेश 71)
ham,मी ५ वाजता घरी येतो. (संदेश 72)
ham,आजचा क्लास किती वाजता आहे? (संदेश 73)
ham,तुझा प्रोजेक्ट पूर्ण झाला का? (संदेश 74)
ham,चल संध्याकाळी फिरायला जाऊ. (संदेश 75)
ham,मी थोडा उशीर होईल. (संदेश 76)
ham,उद्या परीक्षा आहे. (संदेश 77)
ham,मी तुला नंतर फोन करतो. (संदेश 78)
ham,आज ऑफिसला सुट्टी आहे. (संदेश 79)
ham,जेवण झाले का? (संदेश 80)
ham,उद्या कॉलेजला येणार का? (संदेश 81)
ham,मी ५ वाजता घरी येतो. (संदेश 82)
ham,आजचा क्लास किती वाजता आहे? (संदेश 83)
ham,तुझा प्रोजेक्ट पूर्ण झाला का? (संदेश 84)
ham,चल संध्याकाळी फिरायला जाऊ. (संदेश 85)
ham,मी थोडा उशीर होईल. (संदेश 86)
ham,उद्या परीक्षा आहे. (संदेश 87)
ham,मी तुला नंतर फोन करतो. (संदेश 88)
ham,आज ऑफिसला सुट्टी आहे. (संदेश 89)
ham,जेवण झाले का? (संदेश 90)
ham,उद्या कॉलेजला येणार का? (संदेश 91)
ham,मी ५ वाजता घरी येतो. (संदेश 92)
ham,आजचा क्लास किती वाजता आहे? (संदेश 93)
ham,तुझा प्रोजेक्ट पूर्ण झाला का? (संदेश 94)
ham,चल संध्याकाळी फिरायला जाऊ. (संदेश 95)
ham,मी थोडा उशीर होईल. (संदेश 96)
ham,उद्या परीक्षा आहे. (संदेश 97)
ham,मी तुला नंतर फोन करतो. (संदेश 98)
ham,आज ऑफिसला सुट्टी आहे. (संदेश 99)
ham,जेवण झाले का? (संदेश 100)
ham,उद्या कॉलेजला येणार का? (संदेश 101)
ham,मी ५ वाजता घरी येतो. (संदेश 102)
ham,आजचा क्लास किती वाजता आहे? (संदेश 103)
ham,तुझा प्रोजेक्ट पूर्ण झाला का? (संदेश 104)
ham,चल संध्याकाळी फिरायला जाऊ. (संदेश 105)
ham,मी थोडा उशीर होईल. (संदेश 106)
ham,उद्या परीक्षा आहे. (संदेश 107)
ham,मी तुला नंतर फोन करतो. (संदेश 108)
ham,आज ऑफिसला सुट्टी आहे. (संदेश 109)
ham,जेवण झाले का? (संदेश 110)
ham,उद्या कॉलेजला येणार का? (संदेश 111)
ham,मी ५ वाजता घरी येतो. (संदेश 112)
ham,आजचा क्लास किती वाजता आहे? (संदेश 113)
ham,तुझा प्रोजेक्ट पूर्ण झाला का? (संदेश 114)
ham,चल संध्याकाळी फिरायला जाऊ. (संदेश 115)
ham,मी थोडा उशीर होईल. (संदेश 116)
ham,उद्या परीक्षा आहे. (संदेश 117)
ham,मी तुला नंतर फोन करतो. (संदेश 118)
ham,आज ऑफिसला सुट्टी आहे. (संदेश 119)
ham,जेवण झाले का? (संदेश 120)
ham,उद्या कॉलेजला येणार का? (संदेश 121)
ham,मी ५ वाजता घरी येतो. (संदेश 122)
ham,आजचा क्लास किती वाजता आहे? (संदेश 123)
ham,तुझा प्रोजेक्ट पूर्ण झाला का? (संदेश 124)
ham,चल संध्याकाळी फिरायला जाऊ. (संदेश 125)
